,ZCTA5CE10,INTPTLAT10,INTPTLON10
0,43451,+41.3183010,-083.6174935
1,43452,+41.5157923,-082.9809454
2,43456,+41.6468445,-082.8226641
3,43457,+41.2673301,-083.4274872
4,43458,+41.5304461,-083.2133648
5,43460,+41.6048168,-083.5610320
6,43462,+41.2837850,-083.7228646
7,43463,+41.5086650,-083.5080344
8,43464,+41.4048795,-082.9241092
9,43465,+41.5654721,-083.5003020
10,43466,+41.2953588,-083.5148215
11,43467,+41.2432028,-083.4838410
12,43468,+41.5978668,-083.3414931
13,97824,+45.3543012,-117.7564700
14,97825,+44.3851264,-119.4962730
15,97826,+45.6642964,-119.2323162
16,97827,+45.5754239,-117.8380496
17,97828,+45.7165633,-117.2219918
18,97830,+44.9665611,-120.1831619
19,97833,+44.9288884,-118.0148778
20,97834,+44.9722752,-117.1611907
21,97835,+45.9100466,-118.7865520
22,97836,+45.3211522,-119.4746198
23,97837,+44.5566606,-118.0671060
24,97838,+45.8530040,-119.2872655
25,97839,+45.5912076,-119.5929846
26,97840,+44.8560993,-116.9412302
27,97841,+45.4651158,-117.9449249
28,97842,+45.4235915,-116.6840285
29,97843,+45.5023217,-119.9028655
30,97844,+45.8841501,-119.5488363
31,97845,+44.4018235,-118.9030597
32,97846,+45.4626986,-117.0395863
33,97848,+44.7221766,-119.5805545
34,97850,+45.3035379,-118.1132779
35,97856,+44.8152119,-119.1252546
36,97857,+45.3592293,-117.5232400
37,97859,+45.5267188,-118.4214554
38,97862,+45.9220632,-118.3160627
39,97864,+44.8054470,-119.4360525
40,97865,+44.4614657,-119.1800399
41,97867,+45.0780372,-117.9934160
42,97868,+45.4092940,-118.8535816
43,97869,+44.3975633,-118.6339795
44,97870,+44.7879893,-117.1865631
45,97873,+44.1320132,-119.0028841
46,97874,+44.7775389,-119.8677073
47,97875,+45.8185492,-119.1328535
48,97876,+45.5164578,-118.0355249
49,97877,+44.8171633,-118.5070548
50,97880,+45.0886688,-118.8825062
51,97882,+45.8974306,-119.3660707
52,97883,+45.1924234,-117.6341548
53,94118,+37.7800933,-122.4626054
54,94121,+37.7767691,-122.4947073
55,94122,+37.7587992,-122.4851269
56,94123,+37.8009336,-122.4383664
57,94124,+37.7288947,-122.3827787
58,94127,+37.7360266,-122.4572070
59,94128,+37.6264115,-122.3857566
60,94129,+37.7973402,-122.4644664
61,94130,+37.8206878,-122.3695372
62,94131,+37.7459165,-122.4414731
63,94132,+37.7222142,-122.4840831
64,39531,+30.4039945,-088.9661326
65,42409,+37.5386369,-087.6929336
66,42410,+37.2785392,-087.5117711
67,48755,+43.7915009,-083.2456200
68,42411,+37.1982925,-088.0108129
69,42413,+37.4486563,-087.4670006
70,48756,+44.2337465,-083.9733794
71,48757,+43.4698587,-083.6763108
72,39532,+30.4883078,-088.9672949
73,39534,+30.4077351,-088.9246855
74,48759,+43.7304776,-083.3859038
75,39540,+30.4431017,-088.8972376
76,48760,+43.3230508,-083.2550060
77,48761,+44.5109239,-083.8917104
78,48762,+44.8216604,-083.4616203
79,39553,+30.4104470,-088.6438860
80,42420,+37.8109246,-087.5182249
81,39556,+30.4415296,-089.4399718
82,48763,+44.2550899,-083.6149014
83,48765,+44.1515564,-083.7179524
84,48766,+44.1057220,-083.8393919
85,39560,+30.3763526,-089.1727305
86,48767,+43.6505180,-083.4631542
87,39561,+30.7025160,-089.1548832
88,42431,+37.3345390,-087.4811859
89,42436,+37.4498319,-087.5201329
90,48768,+43.3708306,-083.5775391
91,48770,+44.2511832,-083.8141843
92,39562,+30.5466824,-088.4894517
93,42437,+37.6666566,-087.9380705
94,95825,+38.5918966,-121.4084670
95,95826,+38.5438486,-121.3782843
96,95827,+38.5561199,-121.3242596
97,95828,+38.4887898,-121.3958378
98,95829,+38.4895460,-121.3234520
99,95830,+38.4905076,-121.2841712
100,95831,+38.4957873,-121.5302555
101,95832,+38.4474133,-121.4961382
102,95833,+38.6190485,-121.5175516
103,33573,+27.7228601,-082.3569228
104,37336,+35.3088425,-084.9315118
105,33576,+28.3357407,-082.3378360
106,37337,+35.7870560,-084.8506641
107,37338,+35.4297867,-085.2095188
108,37339,+35.3799587,-085.6342303
109,37340,+35.0340631,-085.5175194
110,33578,+27.8622004,-082.3500444
111,37341,+35.2241762,-085.0732942
112,33579,+27.7968676,-082.2870817
113,37342,+35.3919677,-085.9479998
114,33584,+28.0054554,-082.2943370
115,33585,+28.7302331,-082.0860832
116,33592,+28.1018705,-082.2832358
117,37343,+35.1665869,-085.2122574
118,37345,+35.0168286,-086.2030409
119,33594,+27.9409344,-082.2424794
120,33596,+27.8872006,-082.2258519
121,37347,+35.0634681,-085.6134179
122,37348,+35.1316145,-086.4340510
123,37350,+34.9939205,-085.3501840
124,61820,+40.1078904,-088.2442663
125,53406,+42.7345360,-087.8648925
126,53501,+42.6062097,-089.0654992
127,53502,+42.7304062,-089.4380687
128,53503,+43.1429758,-089.9575065
129,61821,+40.1096457,-088.2749032
130,53504,+42.7035159,-089.8603490
131,53505,+42.6610738,-088.8208971
132,53506,+43.1648264,-090.2864290
133,53507,+42.9842706,-089.9140249
134,53508,+42.8661878,-089.5755816
135,61822,+40.1389745,-088.3061785
136,53510,+42.7453556,-090.3052377
137,61830,+40.0330783,-088.7165082
138,61831,+40.2250902,-087.7920697
139,53511,+42.5542425,-089.0945352
140,53515,+43.1150041,-089.7393383
141,53516,+42.7969497,-089.8735289
142,53517,+43.0569828,-089.8323294
143,61832,+40.1362337,-087.6364661
144,53518,+43.2409890,-090.5951299
145,61833,+40.0997467,-087.6442201
146,53520,+42.5968217,-089.3527363
147,53521,+42.8381054,-089.4003023
148,61834,+40.1525459,-087.6732983
149,53522,+42.5569093,-089.7834898
150,61839,+40.1377167,-088.6291664
151,61840,+40.2988731,-088.3002628
152,53523,+42.9844090,-089.0288391
153,61841,+40.0205942,-087.8168712
154,53525,+42.5445354,-088.8586562
155,02457,+42.2993878,-071.2742420
156,02458,+42.3535846,-071.1881919
157,02459,+42.3147789,-071.1920167
158,02460,+42.3518240,-071.2084904
159,02461,+42.3173616,-071.2065077
160,02462,+42.3287076,-071.2559002
161,02464,+42.3129751,-071.2188818
162,02465,+42.3489119,-071.2263300
163,02466,+42.3444566,-071.2486166
164,02467,+42.3143213,-071.1527779
165,02468,+42.3285530,-071.2295297
166,02472,+42.3694508,-071.1779249
167,02474,+42.4209494,-071.1563695
168,02476,+42.4156366,-071.1756700
169,02478,+42.3953169,-071.1802841
170,02481,+42.3119471,-071.2755167
171,02482,+42.2930990,-071.2985351
172,02492,+42.2764827,-071.2437138
173,02493,+42.3605016,-071.3034335
174,02494,+42.2994895,-071.2325194
175,02532,+41.7517590,-070.5975518
176,02534,+41.6689421,-070.6194072
177,02535,+41.3379606,-070.7616743
178,75098,+33.0121346,-096.5349358
179,75101,+32.2700320,-096.7024944
180,75102,+32.0579379,-096.6325473
181,75103,+32.5169296,-095.8835471
182,75104,+32.5848142,-096.9723118
183,75105,+32.2630103,-096.3876628
184,75109,+32.0427838,-096.3437540
185,75110,+32.0846136,-096.5277676
186,75114,+32.6105754,-096.4442563
187,75115,+32.5994271,-096.8640746
188,75116,+32.6606604,-096.9118821
189,75117,+32.7150128,-095.8544608
190,75119,+32.3258474,-096.5885749
191,75124,+32.3260260,-095.9740558
192,75125,+32.5366996,-096.6217469
193,75126,+32.7426013,-096.4528828
194,75127,+32.6902949,-095.7899320
195,75132,+32.9457476,-096.3738828
196,75134,+32.6176630,-096.7780575
197,75135,+33.0663446,-096.2214374
198,48472,+43.5123231,-082.9632121
199,48473,+42.9370622,-083.8204538
200,42025,+36.8569236,-088.3347141
201,48475,+43.6731558,-082.9479871
202,48476,+42.9387067,-084.0300499
203,48502,+43.0137267,-083.6883757
204,42027,+36.9166709,-088.6276857
205,42028,+37.2389100,-088.3368482
206,42029,+37.0064721,-088.3919601
207,48503,+42.9999143,-083.7088865
208,42031,+36.6857478,-088.9913973
209,42032,+36.7758047,-089.1080665
210,42035,+36.9002256,-088.8403820
211,42036,+36.7115210,-088.2145438
212,42037,+37.1727808,-088.1877067
213,48504,+43.0547248,-083.7437448
214,42038,+37.0474135,-088.0276468
215,42039,+36.7887093,-088.8254336
216,42040,+36.6252956,-088.4970733
217,42041,+36.5503732,-088.8773521
218,48505,+43.0703107,-083.6861174
219,29324,+34.9836863,-081.8266352
220,29325,+34.4682056,-081.8451835
221,27030,+36.4898143,-080.6292139
222,27040,+36.1693118,-080.3930448
223,27041,+36.4252534,-080.4871973
224,27042,+36.3528190,-080.0642026
225,27043,+36.3345944,-080.4517305
226,27045,+36.2343984,-080.2960701
227,27046,+36.5022187,-080.0782643
228,27047,+36.3141343,-080.5691122
229,27048,+36.4825144,-079.9176781
230,27050,+36.2264423,-080.4097074
231,27051,+36.1959455,-080.1534011
232,27052,+36.3207550,-080.1504527
233,27053,+36.4742760,-080.3478503
234,27054,+35.7925404,-080.5978879
235,27055,+36.1139068,-080.6311936
236,27101,+36.1108495,-080.2004303
237,27103,+36.0582299,-080.3214959
238,27104,+36.0936873,-080.3235320
239,27105,+36.1633767,-080.2337873
240,27106,+36.1439097,-080.3231573
241,27107,+36.0131579,-080.1754914
242,27109,+36.1339281,-080.2776346
243,27110,+36.0892596,-080.2249598
244,27127,+36.0207083,-080.2798166
245,43469,+41.4603686,-083.3645499
246,43501,+41.6726550,-084.4617960
247,43502,+41.5345544,-084.2937871
248,43504,+41.6957790,-083.8367660
249,43505,+41.5239422,-084.7312727
250,43506,+41.4662106,-084.5571335
251,43511,+41.2625594,-083.8147261
252,43512,+41.3033782,-084.3582793
253,43515,+41.5854010,-084.0083342
254,43516,+41.2149032,-083.9152423
255,43517,+41.4339468,-084.7285498
256,43518,+41.5964884,-084.7577482
257,43519,+41.4194651,-084.4068724
258,43521,+41.6604894,-084.2979938
259,43522,+41.4203100,-083.8324020
260,43523,+41.3370649,-083.9892543
261,43524,+41.2270589,-084.0385107
262,43525,+41.4665824,-083.7044501
263,43526,+41.3128056,-084.7253089
264,43527,+41.2461091,-084.1575024
265,43528,+41.6288552,-083.7495751
266,97884,+44.4553413,-118.2222341
267,97885,+45.6556568,-117.5117500
268,97886,+45.8023079,-118.2724104
269,97901,+43.6214451,-117.1072752
270,97903,+44.2469148,-117.6456167
271,97904,+43.8861787,-118.5229286
272,97905,+44.5738200,-117.4595124
273,97906,+43.5370386,-117.7746785
274,97907,+44.4195014,-117.3455140
275,97908,+44.3123779,-117.9278861
276,97909,+44.2465125,-117.4189859
277,97911,+43.7364817,-118.0413879
278,97914,+44.1136188,-117.0841615
279,97918,+44.0371142,-117.3510723
280,97920,+44.0721806,-117.8542824
281,71944,+34.2428242,-094.3327689
282,73118,+35.5179676,-097.5287181
283,71945,+34.4851525,-094.3395650
284,73119,+35.4220070,-097.5661255
285,71949,+34.6990852,-093.2207979
286,71950,+34.2561582,-093.7180631
287,71952,+34.2808720,-093.8845327
288,73120,+35.5813161,-097.5736742
289,73121,+35.5205166,-097.4395273
290,73122,+35.5204840,-097.6134401
291,73127,+35.4774218,-097.6531944
292,73128,+35.4584819,-097.6623814
293,73129,+35.4314777,-097.4842815
294,71953,+34.6080155,-094.1971930
295,73130,+35.4586519,-097.3455861
296,73131,+35.5764578,-097.4692940
297,71956,+34.5986356,-093.1534376
298,73132,+35.5534001,-097.6333255
299,73134,+35.6142175,-097.5683128
300,71957,+34.5650238,-093.5747012
301,73135,+35.4002683,-097.4330755
302,73139,+35.3863767,-097.5256886
303,71958,+34.1233523,-093.6646132
304,73141,+35.5199620,-097.3944747
305,71959,+34.2431655,-093.9315844
306,73142,+35.6164315,-097.6454346
307,94133,+37.8045315,-122.4108520
308,94134,+37.7210461,-122.4135554
309,94158,+37.7698930,-122.3870114
310,94301,+37.4441310,-122.1499165
311,94303,+37.4578826,-122.1150968
312,94304,+37.3747017,-122.1816956
313,94305,+37.4182561,-122.1708709
314,94306,+37.4157026,-122.1307715
315,94401,+37.5769477,-122.3169034
316,94402,+37.5236020,-122.3449203
317,94403,+37.5384494,-122.3054470
318,94404,+37.5559985,-122.2676793
319,94501,+37.7737930,-122.2781151
320,94502,+37.7375733,-122.2455205
321,94503,+38.1863204,-122.2636108
322,94505,+37.8712683,-121.5969840
323,94506,+37.8096292,-121.9132414
324,94507,+37.8504159,-122.0210973
325,42440,+37.2407268,-087.4646023
326,48801,+43.3741008,-084.6775418
327,42441,+37.3626476,-087.6685288
328,39563,+30.4217495,-088.5230818
329,48806,+43.1868911,-084.5001610
330,42442,+37.1671029,-087.4883932
331,48807,+43.1504763,-084.4020062
332,48808,+42.8288357,-084.4447756
333,48809,+43.0752987,-085.2579615
334,42445,+37.1333391,-087.8517396
335,39564,+30.4047703,-088.7712286
336,48811,+43.1813460,-084.8536167
337,42450,+37.3958701,-087.7634021
338,39565,+30.5870947,-088.7444625
339,42451,+37.8845326,-087.3907071
340,42452,+37.6865115,-087.5316717
341,42453,+37.1578560,-087.5907124
342,39567,+30.2227146,-088.5136467
343,48813,+42.5797748,-084.8458912
344,42455,+37.5933753,-087.5425510
345,48815,+42.8343711,-085.2585846
346,48816,+42.7650090,-083.9559809
347,42456,+37.5077055,-087.4960966
348,42458,+37.8395629,-087.4209423
349,48817,+43.0139493,-084.0428844
350,48818,+43.2726929,-084.8903324
351,42459,+37.5668063,-088.0190479
352,95834,+38.6352119,-121.5186075
353,95835,+38.6706486,-121.5259826
354,95837,+38.6937650,-121.5989406
355,95838,+38.6457235,-121.4452544
356,95841,+38.6603703,-121.3473936
357,95842,+38.6867807,-121.3491664
358,95843,+38.7154633,-121.3634220
359,95864,+38.5840466,-121.3758456
360,95901,+39.2239387,-121.4940499
361,95903,+39.1060986,-121.3681796
362,95910,+39.4911263,-120.8172323
363,95912,+39.0167022,-122.0621433
364,95914,+39.4468370,-121.3704320
365,95915,+40.0499370,-121.3115424
366,37351,+35.1002851,-085.2603629
367,37352,+35.2775203,-086.3530268
368,33597,+28.5455315,-082.0805317
369,37353,+35.1150099,-084.9890965
370,33598,+27.6934231,-082.2846591
371,37354,+35.5065544,-084.3476092
372,33602,+27.9535304,-082.4571128
373,33603,+27.9856178,-082.4644389
374,37355,+35.4997867,-086.0838331
375,33604,+28.0171543,-082.4553503
376,37356,+35.2288775,-085.8236940
